streaming_log,mos,individual_scores,abr,content,encoding_profile,device,trace
0340.csv,56.518,[11 50 80 50 65 69 30 77 50 50 69 40 47 65 54 67 89 64 77 35 34 82 73 78 84 25 64 58 60],BufferOccupancy,movie,H264,phone,7
0341.csv,64.181,[22 88 88 77 84 64 29 65 37 50 71 73 54 56 64 69 77 83 61 75 92 44 50 84 84 39 73 50 74],BufferOccupancy,movie,H264,phone,8
0342.csv,66.913,[41 91 86 91 85 70 36 37 62 75 67 57 62 75 76 82 74 73 74 69 74 80 89 30 81 76 25 44 64],BufferOccupancy,movie,H264,phone,9
0343.csv,67.973,[68 76 34 75 40 67 83 61 80 75 11 88 81 85 65 50 85 98 87 70 68 64 100 78 65 64 50 62 60 94 57],BufferOccupancy,movie,H264,uhdtv,1
0344.csv,63.691,[79 75 31 62 32 76 78 57 80 40 50 77 36 85 60 39 86 74 67 50 72 71 83 76 75 99 65 50 65 76 50],BufferOccupancy,movie,H264,uhdtv,2
0345.csv,72.097,[95 80 86 70 64 67 80 85 75 73 22 91 80 87 63 58 91 42 82 74 65 70 86 71 61 66 67 90 60 91 76],BufferOccupancy,movie,H264,uhdtv,3
0346.csv,62.792,[68 80 71 73 65 71 75 72 80 45 29 88 83 77 41 57 39 50 48 65 60 62 84 70 42 32 67 75 50 78 66],BufferOccupancy,movie,H264,uhdtv,4
0347.csv,67.439,[47 79 32 85 77 26 70 78 80 70 43 84 77 62 73 55 94 42 68 84 82 68 86 97 45 72 53 84 45 75 56],BufferOccupancy,movie,H264,uhdtv,5
0348.csv,67.381,[60 81 50 75 50 56 72 61 80 85 25 74 87 86 71 43 81 60 78 68 79 63 74 78 40 72 35 79 85 85 50],BufferOccupancy,movie,H264,uhdtv,6
0349.csv,55.417,[35 70 39 59 50 65 50 34 80 50 41 76 83 89 69 36 83 60 13 71 47 15 58 71 50 40 38 50 70 60 55],BufferOccupancy,movie,H264,uhdtv,7
0350.csv,62.674,[34 70 80 75 50 73 70 63 80 55 74 79 66 79 74 47 83 50 50 72 78 67 26 68 37 37 72 50 50 70 76],BufferOccupancy,movie,H264,uhdtv,8
0351.csv,72.403,[50 80 80 80 76 70 70 74 85 75 43 89 82 71 71 67 90 66 64 74 79 80 100 69 71 74 70 74 50 93 50],BufferOccupancy,movie,H264,uhdtv,9
0352.csv,70.011,[90 60 87 63 65 82 70 58 75 64 50 83 43 65 74 75 82 70 83 89 45 65 100 35 69 62 80 73 92 65 44 74],BufferOccupancy,nature,H264,hdtv,1
0353.csv,72.655,[95 67 70 94 78 89 79 34 68 39 85 50 100 70 72 60 68 85 81 88 88 70 63 40 75 90 85 69 87 42 50 75],BufferOccupancy,nature,H264,hdtv,2
0354.csv,75.796,[95 88 67 95 79 78 87 56 95 85 90 75 51 70 75 54 62 100 88 88 79 65 78 100 60 20 80 21 95 38 46 75],BufferOccupancy,nature,H264,hdtv,3
0355.csv,72.632,[70 83 87 97 76 87 87 71 65 41 85 73 50 75 37 79 80 60 78 59 72 60 81 50 72 44 83 61 87 95 61 98],BufferOccupancy,nature,H264,hdtv,4
0356.csv,73.741,[80 66 82 72 65 81 83 39 69 61 39 86 50 60 74 60 93 70 85 87 60 70 100 72 75 81 83 81 92 63 64 71],BufferOccupancy,nature,H264,hdtv,5
0357.csv,44.135,[40 58 35 60 50 85 41 13 37 39 34 36 65 70 45 43 35 50 69 62 41 45 50 50 38 7 50 34 85 66 32 43],BufferOccupancy,nature,H264,hdtv,6
0358.csv,58.220,[65 68 68 68 67 85 60 81 69 50 79 35 75 50 60 49 42 50 77 74 62 30 50 25 56 36 71 18 82 59 44 67],BufferOccupancy,nature,H264,hdtv,7
0359.csv,71.700,[90 91 76 67 71 82 70 50 94 58 68 96 64 75 80 55 81 60 42 90 65 70 41 58 88 35 67 70 88 93 44 97],BufferOccupancy,nature,H264,hdtv,8
0360.csv,70.048,[90 45 80 82 67 76 75 57 71 80 61 62 38 65 65 58 87 50 85 77 61 65 66 79 68 30 86 88 80 73 70 59],BufferOccupancy,nature,H264,hdtv,9
0361.csv,75.412,[66 81 88 82 96 66 50 80 31 70 70 72 72 76 91 93 95 83 84 76 100 36 86 74 92 43 58 71 67],BufferOccupancy,nature,H264,phone,1
0362.csv,68.753,[50 85 85 64 76 78 50 77 48 84 78 77 62 64 70 90 86 50 91 75 75 32 76 67 90 20 77 68 76],BufferOccupancy,nature,H264,phone,2
0363.csv,72.185,[75 69 86 90 89 74 36 63 43 60 85 57 72 70 71 85 90 97 85 57 89 100 86 61 84 27 59 48 65],BufferOccupancy,nature,H264,phone,3
0364.csv,70.896,[70 89 87 94 88 84 61 59 46 65 78 81 58 92 89 92 82 43 79 78 92 83 69 80 92 18 33 61 47],BufferOccupancy,nature,H264,phone,4
0365.csv,74.439,[50 82 72 85 100 86 50 90 43 75 74 69 62 92 79 94 86 62 73 67 86 81 89 83 50 74 30 78 71],BufferOccupancy,nature,H264,phone,5
0366.csv,69.530,[70 80 75 91 93 63 93 77 50 75 62 65 69 60 68 93 86 80 73 68 94 42 50 35 83 58 39 77 76],BufferOccupancy,nature,H264,phone,6
0367.csv,63.707,[44 75 75 72 82 70 50 81 31 70 50 56 46 63 65 78 87 68 83 64 77 25 78 72 85 54 35 34 84],BufferOccupancy,nature,H264,phone,7
0368.csv,67.867,[31 83 85 86 92 89 32 50 50 76 72 75 75 65 45 91 81 77 79 77 93 32 86 85 80 61 44 45 83],BufferOccupancy,nature,H264,phone,8
0369.csv,71.832,[60 84 82 90 92 62 34 88 50 65 73 60 58 70 74 90 76 76 80 81 75 95 73 79 70 68 34 56 67],BufferOccupancy,nature,H264,phone,9
0370.csv,77.288,[61 77 99 87 86 87 75 68 85 65 85 91 89 75 75 27 95 94 72 100 88 68 83 75 73 91 50 73 65 83 80],BufferOccupancy,nature,H264,uhdtv,1
0371.csv,77.061,[79 83 99 90 70 100 74 82 90 70 62 90 75 59 67 72 87 80 82 90 80 61 86 80 73 85 32 73 75 87 80],BufferOccupancy,nature,H264,uhdtv,2
0372.csv,72.832,[73 80 86 89 85 76 60 68 80 80 39 89 83 92 65 39 80 85 81 80 78 53 59 78 20 95 72 66 80 86 90],BufferOccupancy,nature,H264,uhdtv,3
0373.csv,76.766,[80 91 21 88 43 82 80 79 80 80 82 85 75 79 76 58 100 93 76 94 88 73 92 89 62 74 60 50 70 100 92],BufferOccupancy,nature,H264,uhdtv,4
0374.csv,77.472,[59 85 85 77 73 76 78 67 80 80 72 88 77 92 72 59 100 95 71 100 75 73 89 73 61 85 37 66 70 97 72],BufferOccupancy,nature,H264,uhdtv,5
0375.csv,72.761,[50 77 1 91 73 90 65 68 90 71 29 88 79 81 37 69 100 99 83 91 93 57 100 87 63 90 63 64 65 94 65],BufferOccupancy,nature,H264,uhdtv,6
0376.csv,68.100,[78 74 86 86 25 74 60 70 75 75 35 84 72 89 63 64 68 67 31 77 71 58 68 57 61 80 35 90 70 80 50],BufferOccupancy,nature,H264,uhdtv,7
0377.csv,73.853,[79 74 86 82 68 78 78 77 80 71 30 91 83 90 74 58 85 80 57 80 90 69 63 79 73 67 81 91 70 84 50],BufferOccupancy,nature,H264,uhdtv,8
0378.csv,78.092,[63 71 98 82 76 73 75 84 80 76 92 92 89 89 75 58 92 100 76 100 72 86 63 100 61 80 71 62 60 79 80],BufferOccupancy,nature,H264,uhdtv,9
0379.csv,52.399,[60 89 95 63 50 66 41 2 50 41 20 10 70 60 40 45 50 60 58 41 82 30 75 23 50 71 75 36 85 28 34 73],BufferOccupancy,sports,H264,hdtv,1
0380.csv,60.894,[85 40 83 43 22 62 62 1 69 61 69 75 62 70 40 60 82 70 91 61 61 30 58 72 38 67 76 42 88 70 50 66],BufferOccupancy,sports,H264,hdtv,2
0381.csv,61.311,[92 67 80 82 64 75 50 1 50 31 63 50 45 70 42 77 76 70 85 61 50 65 50 80 53 22 85 38 78 61 34 90],BufferOccupancy,sports,H264,hdtv,3
0382.csv,58.272,[90 41 30 43 50 67 41 21 70 33 75 26 90 80 35 59 50 50 67 86 74 10 50 71 67 77 79 57 92 50 36 80],BufferOccupancy,sports,H264,hdtv,4
0383.csv,55.524,[95 81 68 55 50 37 47 12 55 27 36 61 20 65 45 81 64 90 72 50 34 55 63 38 45 26 67 78 90 50 36 78],BufferOccupancy,sports,H264,hdtv,5
0384.csv,42.547,[60 32 70 72 68 70 10 14 51 34 10 12 38 50 58 54 24 50 50 69 25 35 38 50 25 14 61 40 73 42 54 67],BufferOccupancy,sports,H264,hdtv,6
0385.csv,45.693,[60 43 62 39 50 69 9 2 50 41 13 62 42 70 56 32 24 50 50 38 39 30 50 32 44 47 82 40 63 73 30 77],BufferOccupancy,sports,H264,hdtv,7
0386.csv,49.859,[68 40 50 66 46 73 41 11 68 71 57 62 41 50 20 42 48 50 92 53 50 25 64 30 35 50 75 38 71 37 43 87],BufferOccupancy,sports,H264,hdtv,8
0387.csv,38.548,[50 40 63 46 40 79 20 47 50 88 20 10 20 40 33 56 15 50 50 62 38 25 50 37 35 14 57 57 85 42 34 41],BufferOccupancy,sports,H264,hdtv,9
0388.csv,47.956,[33 68 65 71 63 23 34 15 46 30 68 66 41 50 60 81 68 99 65 30 30 30 68 29 86 72 42 33 50],BufferOccupancy,sports,H264,phone,1
0389.csv,57.865,[31 80 76 73 89 29 25 63 32 50 76 31 55 38 81 82 62 74 77 71 29 29 50 64 68 70 81 44 76],BufferOccupancy,sports,H264,phone,2
0390.csv,59.934,[25 70 73 58 83 58 50 76 50 81 73 75 48 82 87 72 50 65 71 34 87 41 50 56 85 36 59 70 41],BufferOccupancy,sports,H264,phone,3
0391.csv,58.028,[57 75 66 50 89 55 11 63 32 50 70 29 54 59 66 83 69 79 57 62 30 24 84 83 72 29 30 44 60],BufferOccupancy,sports,H264,phone,4
0392.csv,53.915,[60 90 72 65 81 26 25 52 36 76 72 25 39 27 42 91 50 95 70 53 30 38 76 78 68 26 62 36 58],BufferOccupancy,sports,H264,phone,5
0393.csv,51.973,[69 79 76 35 82 50 35 50 36 56 31 45 54 26 45 80 65 92 76 45 30 30 77 62 73 20 58 18 83],BufferOccupancy,sports,H264,phone,6
0394.csv,52.975,[16 81 78 85 91 50 38 26 29 35 62 19 48 67 48 79 44 88 68 26 35 41 50 76 70 42 27 82 50],BufferOccupancy,sports,H264,phone,7
0395.csv,51.376,[50 78 70 50 84 38 26 45 63 50 69 19 42 60 72 78 61 74 56 27 32 16 50 23 65 58 71 40 82],BufferOccupancy,sports,H264,phone,8
0396.csv,50.722,[65 70 64 48 89 50 31 70 35 65 41 21 41 60 40 83 72 62 41 42 40 22 88 13 73 28 57 41 87],BufferOccupancy,sports,H264,phone,9
0397.csv,63.766,[37 87 70 54 100 80 40 61 70 35 34 80 33 73 83 83 73 81 50 80 90 33 40 60 77 92 61 81 40 87 50],BufferOccupancy,sports,H264,uhdtv,1
0398.csv,65.491,[41 72 50 67 67 37 66 80 80 70 72 76 77 38 64 53 82 83 85 81 81 38 58 92 81 83 37 74 50 82 60],BufferOccupancy,sports,H264,uhdtv,2
0399.csv,68.353,[56 72 36 65 80 100 60 64 75 65 78 79 77 97 68 44 81 70 18 88 50 50 87 65 73 66 71 86 55 77 65],BufferOccupancy,sports,H264,uhdtv,3
0400.csv,60.052,[59 73 10 30 60 50 20 79 70 70 24 63 88 94 76 52 73 50 50 67 77 64 55 55 70 73 40 93 45 76 60],BufferOccupancy,sports,H264,uhdtv,4
0401.csv,65.690,[75 86 87 65 55 80 63 58 70 40 70 83 37 75 58 61 80 80 68 70 60 93 40 81 58 70 69 67 40 52 76],BufferOccupancy,sports,H264,uhdtv,5
0402.csv,48.239,[80 77 32 21 77 59 60 36 65 40 42 79 29 62 66 15 69 50 26 38 70 58 76 65 29 71 26 28 40 57 30],BufferOccupancy,sports,H264,uhdtv,6
0403.csv,51.907,[53 60 27 33 23 19 50 27 75 40 22 66 34 77 61 30 71 50 72 74 57 80 85 50 32 96 42 59 70 75 61],BufferOccupancy,sports,H264,uhdtv,7
0404.csv,63.536,[56 78 7 80 39 10 60 69 80 70 27 45 38 76 57 33 88 80 66 65 88 43 77 64 94 61 62 50 45 94 89],BufferOccupancy,sports,H264,uhdtv,8
0405.csv,50.289,[56 71 2 30 30 52 42 39 70 25 25 72 15 87 54 30 35 50 16 87 87 67 46 63 50 78 71 39 55 83 36],BufferOccupancy,sports,H264,uhdtv,9
0406.csv,51.484,[85 73 50 55 30 88 77 1 33 37 40 31 60 64 68 36 79 35 74 90 53 35 50 24 50 70 35 22 77 38 40 50],BufferOccupancy,document,HEVC,hdtv,1
0407.csv,66.064,[95 38 97 70 68 78 86 1 78 87 67 39 45 85 75 100 86 65 87 65 21 50 80 34 55 33 66 66 88 50 47 72],BufferOccupancy,document,HEVC,hdtv,2
0408.csv,69.056,[90 68 74 56 35 76 70 1 76 77 39 72 40 75 70 62 94 90 82 100 41 50 72 85 70 88 88 82 92 44 37 70],BufferOccupancy,document,HEVC,hdtv,3
0409.csv,53.240,[85 82 34 44 63 29 50 2 57 50 26 32 26 70 35 57 70 90 42 78 41 50 55 71 68 32 69 64 81 39 42 60],BufferOccupancy,document,HEVC,hdtv,4
0410.csv,63.030,[73 72 76 81 33 83 32 17 50 73 54 71 65 65 60 40 71 70 50 75 61 55 50 50 68 39 75 72 90 72 67 88],BufferOccupancy,document,HEVC,hdtv,5
0411.csv,64.138,[90 79 50 65 87 76 80 1 70 63 62 50 40 60 63 61 73 70 92 42 61 60 50 73 58 80 85 34 88 74 63 83],BufferOccupancy,document,HEVC,hdtv,6
0412.csv,22.724,[11 68 28 32 12 60 39 1 8 18 14 9 45 60 37 13 5 20 15 40 29 5 30 18 10 42 20 7 47 35 30 50],BufferOccupancy,document,HEVC,hdtv,7
0413.csv,33.464,[30 24 50 74 1 23 50 1 10 42 62 14 61 60 32 24 50 40 15 40 80 15 32 15 20 32 39 25 73 69 37 43],BufferOccupancy,document,HEVC,hdtv,8
0414.csv,35.807,[71 38 81 41 27 61 40 1 38 41 18 15 44 40 40 19 11 40 50 66 68 15 41 37 25 29 30 22 70 38 45 60],BufferOccupancy,document,HEVC,hdtv,9
0415.csv,58.507,[41 63 55 73 100 55 35 62 50 79 50 25 58 59 70 74 65 74 82 78 24 50 87 64 67 36 62 50 71],BufferOccupancy,document,HEVC,phone,1
0416.csv,61.453,[66 79 60 78 83 41 61 74 41 63 50 59 47 57 60 80 81 88 70 61 30 91 50 12 89 22 63 38 61],BufferOccupancy,document,HEVC,phone,2
0417.csv,59.771,[62 83 83 50 91 64 42 85 31 70 55 44 40 47 70 86 74 74 58 78 42 43 81 30 78 63 47 42 83],BufferOccupancy,document,HEVC,phone,3
0418.csv,66.627,[71 88 57 87 86 43 68 58 31 70 84 35 40 40 65 78 50 91 74 73 85 60 92 75 84 72 72 46 79],BufferOccupancy,document,HEVC,phone,4
0419.csv,62.910,[23 80 66 74 89 45 34 59 61 60 68 15 45 24 75 83 76 97 63 72 42 81 87 77 81 61 64 58 47],BufferOccupancy,document,HEVC,phone,5
0420.csv,62.417,[50 78 75 50 100 50 50 71 73 80 65 39 89 84 37 81 50 65 64 64 37 62 66 72 72 71 50 59 63],BufferOccupancy,document,HEVC,phone,6
0421.csv,28.504,[30 50 27 50 87 32 34 9 32 35 13 11 20 10 35 13 50 63 12 40 13 12 64 15 26 38 46 35 78],BufferOccupancy,document,HEVC,phone,7
0422.csv,36.857,[24 35 38 58 95 50 28 22 38 30 25 43 39 11 30 11 44 68 7 60 16 38 50 34 41 65 35 46 62],BufferOccupancy,document,HEVC,phone,8
0423.csv,42.327,[10 43 28 83 93 50 38 16 35 50 44 31 38 21 42 32 50 61 31 67 28 21 80 35 41 67 36 48 62],BufferOccupancy,document,HEVC,phone,9
0424.csv,54.753,[73 68 32 49 40 60 60 29 30 30 57 79 37 85 62 72 30 43 68 75 66 56 77 66 64 65 79 50 70 55 39],BufferOccupancy,document,HEVC,uhdtv,1
0425.csv,70.559,[75 82 28 71 60 70 45 83 40 55 72 84 84 88 79 30 60 71 43 86 50 85 98 73 50 82 94 68 75 87 70],BufferOccupancy,document,HEVC,uhdtv,2
0426.csv,67.263,[73 87 40 80 90 71 70 63 35 80 42 88 64 75 50 42 50 70 18 84 63 72 88 69 91 65 68 64 85 93 40],BufferOccupancy,document,HEVC,uhdtv,3
0427.csv,66.864,[71 80 50 59 30 56 55 49 30 85 47 87 70 95 70 34 73 82 67 80 80 61 88 74 67 87 65 43 70 79 50],BufferOccupancy,document,HEVC,uhdtv,4
0428.csv,66.539,[63 75 30 75 81 50 60 64 80 43 14 87 67 80 90 63 66 62 68 83 88 58 98 78 50 80 64 69 70 70 75],BufferOccupancy,document,HEVC,uhdtv,5
0429.csv,66.375,[73 81 33 70 100 20 60 75 80 45 47 80 71 83 69 40 84 60 67 83 77 76 90 69 40 64 30 72 50 88 71],BufferOccupancy,document,HEVC,uhdtv,6
0430.csv,22.921,[68 53 32 18 5 30 40 23 20 1 11 40 33 8 31 25 12 21 10 55 29 58 24 21 15 17 35 21 40 52 30],BufferOccupancy,document,HEVC,uhdtv,7
0431.csv,39.509,[43 68 1 58 1 22 40 29 50 10 20 49 69 32 50 29 14 21 39 40 77 69 78 22 63 38 50 50 50 75 35],BufferOccupancy,document,HEVC,uhdtv,8
0432.csv,42.273,[68 71 1 38 1 80 50 25 80 21 7 49 27 67 68 24 13 42 50 70 79 71 52 32 32 32 40 31 40 73 45],BufferOccupancy,document,HEVC,uhdtv,9
0433.csv,54.130,[80 45 85 31 36 73 50 1 74 70 68 50 62 50 55 67 36 40 50 32 61 35 50 79 57 61 41 28 85 78 41 61],BufferOccupancy,game,HEVC,hdtv,1
0434.csv,66.057,[90 79 35 69 70 76 62 32 84 66 83 70 65 75 75 50 85 65 59 42 71 50 53 51 60 25 77 60 92 89 67 68],BufferOccupancy,game,HEVC,hdtv,2
0435.csv,69.303,[90 68 73 69 91 84 75 36 90 50 36 84 60 65 62 56 76 65 95 80 63 55 77 70 75 41 93 36 91 68 77 90],BufferOccupancy,game,HEVC,hdtv,3
0436.csv,61.527,[70 73 33 92 65 76 50 20 94 77 72 75 100 60 60 24 66 35 81 71 66 15 60 76 65 58 65 23 90 71 43 41],BufferOccupancy,game,HEVC,hdtv,4
0437.csv,62.680,[90 73 50 78 50 86 50 34 60 93 74 50 40 75 68 63 89 65 74 78 66 45 61 50 65 34 80 31 96 50 50 66],BufferOccupancy,game,HEVC,hdtv,5
0438.csv,63.843,[90 27 76 100 61 83 42 6 100 87 37 64 64 70 65 38 40 60 84 70 61 25 57 81 57 36 74 40 83 77 60 99],BufferOccupancy,game,HEVC,hdtv,6
0439.csv,44.874,[40 36 32 69 50 66 39 18 96 78 36 48 70 40 63 33 3 40 58 57 86 36 40 30 44 27 23 55 75 40 37 42],BufferOccupancy,game,HEVC,hdtv,7
0440.csv,46.009,[76 31 50 28 34 66 50 15 50 60 19 21 75 65 50 38 32 45 50 33 43 25 61 83 38 31 37 35 77 65 81 58],BufferOccupancy,game,HEVC,hdtv,8
0441.csv,44.843,[40 35 32 50 36 39 50 1 53 23 37 79 50 70 43 14 26 40 59 72 58 35 50 40 55 40 39 33 65 63 68 50],BufferOccupancy,game,HEVC,hdtv,9
0442.csv,62.303,[50 69 70 53 91 75 50 62 36 64 70 80 54 35 68 92 82 50 67 60 73 100 50 30 98 75 69 43 61],BufferOccupancy,game,HEVC,phone,1
0443.csv,70.900,[20 64 82 60 98 78 67 73 42 85 55 80 40 72 63 72 64 88 73 61 65 100 98 87 95 64 60 68 72],BufferOccupancy,game,HEVC,phone,2
0444.csv,73.355,[35 82 89 71 79 100 65 57 65 75 78 82 69 67 80 89 78 88 54 64 89 82 93 50 80 39 47 88 58],BufferOccupancy,game,HEVC,phone,3
0445.csv,64.623,[36 73 70 62 99 88 60 50 44 80 76 40 57 66 69 95 93 97 30 73 78 100 8 30 74 41 27 39 67],BufferOccupancy,game,HEVC,phone,4
0446.csv,75.286,[73 100 74 71 68 73 74 82 43 70 72 85 54 42 40 83 79 83 67 61 80 100 71 79 91 66 70 62 88],BufferOccupancy,game,HEVC,phone,5
0447.csv,64.931,[39 78 77 84 87 87 50 74 47 65 61 38 45 35 42 91 50 70 70 66 93 100 90 50 85 40 50 63 65],BufferOccupancy,game,HEVC,phone,6
0448.csv,51.951,[12 50 71 50 89 65 50 26 39 60 60 64 32 25 61 78 72 81 50 67 76 100 23 30 50 44 78 42 50],BufferOccupancy,game,HEVC,phone,7
0449.csv,53.944,[12 72 72 50 86 69 50 29 30 75 47 27 64 24 74 75 50 86 38 59 75 100 84 82 35 68 15 50 40],BufferOccupancy,game,HEVC,phone,8
0450.csv,55.669,[15 81 82 57 86 76 65 19 41 46 32 50 37 35 73 87 60 76 50 32 90 100 72 50 64 31 80 45 50],BufferOccupancy,game,HEVC,phone,9
0451.csv,63.997,[52 70 1 75 50 71 55 41 80 55 74 70 73 80 64 71 62 84 69 88 90 58 84 75 50 40 37 74 85 91 50],BufferOccupancy,game,HEVC,uhdtv,1
0452.csv,74.526,[59 73 99 84 81 84 65 80 80 72 85 85 76 84 83 51 50 50 67 79 100 70 82 45 51 61 85 67 75 92 85],BufferOccupancy,game,HEVC,uhdtv,2
0453.csv,73.616,[82 77 94 81 95 89 76 66 85 85 71 85 78 81 71 77 85 60 30 85 84 69 100 74 40 40 69 68 60 83 73],BufferOccupancy,game,HEVC,uhdtv,3
0454.csv,64.178,[70 61 4 80 70 75 60 71 75 67 81 88 95 80 60 66 64 50 64 84 86 75 100 70 27 62 64 23 65 55 50],BufferOccupancy,game,HEVC,uhdtv,4
0455.csv,70.119,[77 70 100 90 40 63 68 64 80 68 89 81 96 68 58 50 68 50 50 82 63 50 100 70 50 90 32 70 70 80 90],BufferOccupancy,game,HEVC,uhdtv,5
0456.csv,68.664,[45 85 100 85 25 71 65 60 75 35 86 84 87 90 50 46 70 50 60 78 83 65 58 75 50 74 36 78 75 93 80],BufferOccupancy,game,HEVC,uhdtv,6
0457.csv,54.855,[77 74 1 85 10 70 50 28 80 70 35 75 62 51 38 42 50 70 18 45 88 65 95 32 30 63 69 24 50 88 50],BufferOccupancy,game,HEVC,uhdtv,7
0458.csv,53.165,[64 75 1 75 19 60 60 39 75 60 16 55 82 73 19 63 62 20 28 76 97 65 91 31 42 68 31 21 50 74 50],BufferOccupancy,game,HEVC,uhdtv,8
0459.csv,55.712,[74 74 17 53 80 81 72 71 80 70 93 68 33 21 41 26 50 50 69 79 80 61 95 29 40 40 41 50 25 74 50],BufferOccupancy,game,HEVC,uhdtv,9
0460.csv,70.038,[90 50 68 78 50 84 50 59 81 72 70 77 62 75 70 63 74 70 96 90 86 60 60 63 50 75 84 60 88 63 39 72],BufferOccupancy,movie,HEVC,hdtv,1
0461.csv,75.952,[90 68 78 100 60 80 60 77 72 77 67 31 45 60 76 65 90 85 94 78 67 70 87 80 64 86 95 63 88 76 67 79],BufferOccupancy,movie,HEVC,hdtv,2
0462.csv,68.428,[90 65 50 34 59 84 58 66 81 77 83 71 64 70 60 61 87 75 89 64 61 80 75 37 70 21 79 68 92 34 69 87],BufferOccupancy,movie,HEVC,hdtv,3
0463.csv,64.875,[80 68 72 58 44 64 50 58 76 65 67 78 40 60 58 60 95 65 62 92 45 76 41 30 67 44 80 66 85 73 55 96],BufferOccupancy,movie,HEVC,hdtv,4
0464.csv,66.167,[95 32 77 61 60 86 59 75 86 67 80 62 40 65 70 69 50 70 87 58 64 50 57 50 70 20 73 85 93 50 39 96],BufferOccupancy,movie,HEVC,hdtv,5
0465.csv,67.477,[100 66 77 40 82 91 66 50 69 39 39 58 73 50 66 63 32 75 91 90 59 60 87 62 67 17 85 64 92 87 76 67],BufferOccupancy,movie,HEVC,hdtv,6
0466.csv,56.704,[90 80 55 66 64 75 50 42 59 38 72 21 65 70 70 29 35 50 79 61 85 40 72 27 30 13 70 43 84 66 39 67],BufferOccupancy,movie,HEVC,hdtv,7
0467.csv,59.037,[89 64 71 63 59 86 86 50 90 32 19 31 75 80 70 24 50 60 72 73 46 35 55 71 55 30 62 64 92 37 44 83],BufferOccupancy,movie,HEVC,hdtv,8
0468.csv,64.711,[85 91 71 65 50 80 39 14 85 66 34 73 60 75 60 25 75 75 92 98 65 45 80 38 50 71 65 30 86 70 54 82],BufferOccupancy,movie,HEVC,hdtv,9
0469.csv,65.737,[40 84 84 89 97 68 50 80 47 65 62 77 55 50 53 76 86 39 60 64 78 82 73 81 46 76 65 45 65],BufferOccupancy,movie,HEVC,phone,1
0470.csv,72.427,[30 74 78 86 86 70 40 79 38 80 72 81 75 62 79 96 73 85 71 63 89 77 92 73 83 63 60 70 70],BufferOccupancy,movie,HEVC,phone,2
0471.csv,69.652,[22 87 85 100 90 74 50 85 54 75 70 67 75 50 73 84 86 83 68 42 90 59 38 41 84 77 29 74 64],BufferOccupancy,movie,HEVC,phone,3
0472.csv,64.808,[71 61 93 60 88 55 50 73 46 85 75 61 52 30 49 100 76 47 75 35 68 90 79 72 80 73 74 59 85],BufferOccupancy,movie,HEVC,phone,4
0473.csv,68.257,[50 75 95 50 84 83 60 72 45 85 60 66 61 50 60 100 79 89 41 64 68 100 81 82 78 75 50 43 69],BufferOccupancy,movie,HEVC,phone,5
0474.csv,67.664,[26 78 89 91 94 89 71 72 34 82 55 59 65 40 67 90 81 75 69 38 89 62 95 46 88 19 74 50 74],BufferOccupancy,movie,HEVC,phone,6
0475.csv,65.102,[50 77 72 94 89 68 39 56 34 80 71 65 73 38 62 100 74 82 80 26 68 23 87 50 81 50 71 59 71],BufferOccupancy,movie,HEVC,phone,7
0476.csv,64.975,[72 70 84 61 79 64 50 72 32 70 71 46 46 72 40 98 76 69 63 31 73 100 80 100 75 60 40 47 70],BufferOccupancy,movie,HEVC,phone,8
0477.csv,64.188,[60 79 74 59 79 77 62 68 47 30 56 56 64 66 42 90 67 73 61 50 77 100 79 74 83 65 38 42 76],BufferOccupancy,movie,HEVC,phone,9
0478.csv,73.401,[79 70 75 90 75 69 80 79 80 75 62 84 74 94 73 54 83 60 68 71 80 66 93 72 70 84 37 79 65 100 50],BufferOccupancy,movie,HEVC,uhdtv,1
0479.csv,74.816,[63 85 76 86 50 76 70 70 75 80 81 88 82 96 81 50 100 98 52 88 78 66 89 80 36 75 80 50 60 85 60],BufferOccupancy,movie,HEVC,uhdtv,2
0480.csv,74.241,[68 88 100 90 70 71 85 86 90 77 78 85 60 86 74 55 79 86 57 77 74 43 54 74 70 70 64 86 65 88 50],BufferOccupancy,movie,HEVC,uhdtv,3
0481.csv,67.839,[70 73 100 75 75 75 75 75 80 65 16 88 74 40 78 86 81 64 49 58 76 50 74 73 38 85 78 87 70 83 30],BufferOccupancy,movie,HEVC,uhdtv,4
0482.csv,72.054,[81 78 73 76 75 91 75 67 85 70 77 89 70 86 74 82 86 75 68 85 62 63 100 81 81 35 29 75 65 68 60],BufferOccupancy,movie,HEVC,uhdtv,5
0483.csv,72.522,[72 80 83 82 59 75 60 79 80 81 68 85 72 85 80 45 81 70 82 54 92 91 45 73 62 37 39 72 75 94 50],BufferOccupancy,movie,HEVC,uhdtv,6
0484.csv,67.200,[94 72 100 77 70 84 80 69 60 65 21 78 36 70 70 49 85 65 50 61 69 36 80 66 67 74 74 50 70 74 30],BufferOccupancy,movie,HEVC,uhdtv,7
0485.csv,67.729,[59 76 100 61 66 64 78 73 80 75 18 77 61 95 58 52 87 69 31 78 69 46 100 78 68 75 63 21 75 70 27],BufferOccupancy,movie,HEVC,uhdtv,8
0486.csv,70.394,[65 76 96 60 95 76 70 66 90 70 50 82 74 94 65 66 75 50 64 72 66 64 73 76 70 60 64 68 80 90 50],BufferOccupancy,movie,HEVC,uhdtv,9
